


l (mm)    l (in)      adjustment factor

360       14.2        1.0                 f=360mm (14.2 in)
441	  17.4	      1.5
509	  20.0	      2.0
570	  22.4	      2.5
624	  24.6	      3.0
673	  26.5	      3.5
720	  28.3	      4.0


210	   8.3	      1.0                 f=210mm (8.3 in)
257	  10.1	      1.5
297	  11.7	      2.0
332	  13.1	      2.5
364	  14.3	      3.0
393	  15.5	      3.5
420	  16.5	      4.0


135	   5.3	      1.0                 f=135mm (5.3 in)
165	   6.5	      1.5
190	   7.5	      2.0
213	   8.4	      2.5
234	   9.2	      3.0
253	  10.0	      3.5
270	  10.6	      4.0
